"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","djup","swept_area_km2","BALSE_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
4,2,1,2012,"A7_Syntetiskt rep","A_Plast",55.648,14.6405,55.6317,14.6067,58,0.088309236277,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","FISHERY",67.9430629564021,0.11323843826067,"Plast"
4,2,1,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",55.648,14.6405,55.6317,14.6067,58,0.088309236277,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",45.2953753042681,0.928555193737495,"Naturmaterial"
4,4,2,2012,"A7_Syntetiskt rep","A_Plast",55.8173,15.2558,55.8375,15.2865,52,0.095832647526,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","FISHERY",10.4348572831476,0.125218287397771,"Plast"
4,4,2,2012,"A3_Plastpåse","A_Plast",55.8173,15.2558,55.8375,15.2865,52,0.095832647526,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","SUP",62.6091436988857,1.66957716530362,"Plast"
4,5,3,2012,"A12_Övrig plast","A_Plast",55.884,15.5675,55.9098,15.5672,49,0.089204930152,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",11.2101427387035,8.74391133618877,"Plast"
4,5,3,2012,"A2_Plastbit_stycke","A_Plast",55.884,15.5675,55.9098,15.5672,49,0.089204930152,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",11.2101427387035,0.0448405709548142,"Plast"
4,5,3,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",55.884,15.5675,55.9098,15.5672,49,0.089204930152,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",11.2101427387035,0.224202854774071,"Naturmaterial"
4,8,4,2012,"C8_Övrig metall","C_Metall",55.7642,16.6642,55.7848,16.6388,53,0.091148442814,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",21.9422289427506,27.4277861784383,"Metall"
4,8,4,2012,"A4_Plastlock","A_Plast",55.7642,16.6642,55.7848,16.6388,53,0.091148442814,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","SUP",10.9711144713753,1.53595602599254,"Plast"
4,8,4,2012,"G1_Kläder_trasor","G_Diverse",55.7642,16.6642,55.7848,16.6388,53,0.091148442814,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",10.9711144713753,0.72409355511077,"Diverse"
4,10,5,2012,"A3_Plastpåse","A_Plast",55.8643,16.4782,55.8657,16.433,51,0.089133833832,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","SUP",11.2190843477552,1.16678477216654,"Plast"
4,10,5,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",55.8643,16.4782,55.8657,16.433,51,0.089133833832,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",11.2190843477552,1.03215575999347,"Naturmaterial"
4,12,6,2012,"A7_Syntetiskt rep","A_Plast",55.6805,16.1907,55.6833,16.1465,67,0.092568179672,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","FISHERY",21.6056965480651,0.0432113930961302,"Plast"
4,12,6,2012,"A11_Plastbackar och behållare","A_Plast",55.6805,16.1907,55.6833,16.1465,67,0.092568179672,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","SUP",10.8028482740325,0.108028482740325,"Plast"
4,12,6,2012,"F5_Övrigt naturmaterial","F_Naturmaterial",55.6805,16.1907,55.6833,16.1465,67,0.092568179672,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",21.6056965480651,0.583353806797758,"Naturmaterial"
4,12,6,2012,"A3_Plastpåse","A_Plast",55.6805,16.1907,55.6833,16.1465,67,0.092568179672,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","SUP",10.8028482740325,0.129634179288391,"Plast"
4,13,7,2012,"E2_Glasflaska","E_Glas",55.7983,15.9078,55.7982,15.9532,60,0.090045742532,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",11.1054667536849,5.59715524385721,"Glas"
4,13,7,2012,"C1_Konservburkar_metall (mat)","C_Metall",55.7983,15.9078,55.7982,15.9532,60,0.090045742532,"BAL-SE-AA-B_Bornholmshavet_och_Hanobukten","OTHER",11.1054667536849,0.199898401566329,"Metall"
