"Quarter","StNo","HaulNo","Year","kategori","gruppnamn","lat_start_dec","long_start_dec","lat_stop_dec","long_stop_dec","swept_area_km2","ANSSE_area","trend_area","sup_fishery_other","no_litter_per_km2","weight_litter_per_km2_kg","gruppnamn_ny"
3,101,46,2015,"N_Inget","N_Inget",57.8725,11.2663,57.9022,11.248,0.083568,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,12,6,2015,"N_Inget","N_Inget",57.5843,9.017,57.597,9.0667,0.072116,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,16,8,2015,"N_Inget","N_Inget",57.9263,9.355,57.9142,9.3025,0.084275,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,17,9,2015,"N_Inget","N_Inget",57.724,9.6908,57.7393,9.7398,0.064049,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,19,10,2015,"E2_Glasflaska","E_Glas",58.0065,9.8183,58.0273,9.8598,0.081792,"utanför ANSSE-area","Utanför ANSSE-area","OTHER",12.2261345852895,3.05653364632238,"Glas"
3,2,1,2015,"N_Inget","N_Inget",57.487,9.1378,57.4868,9.082,0.06704,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,23,11,2015,"N_Inget","N_Inget",57.8697,10.2748,57.8877,10.2285,0.074162,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,24,12,2015,"N_Inget","N_Inget",58.0252,10.5485,58.0532,10.5242,0.079235,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,26,13,2015,"G3_Övrigt_diverse","G_Diverse",58.372,10.5813,58.4013,10.5652,0.081792,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","OTHER",12.2261345852895,5.74628325508607,"Diverse"
3,28,14,2015,"A3_Plastpåse","A_Plast",58.643,10.8747,58.6737,10.87,0.06778,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","SUP",14.7536146355857,0.0295072292711714,"Plast"
3,34,15,2015,"A3_Plastpåse","A_Plast",57.6282,10.7458,57.6537,10.7763,0.063688,"utanför ANSSE-area","Utanför ANSSE-area","SUP",31.4030900640623,1.06770506217812,"Plast"
3,34,15,2015,"A5_Fiskelina (monofilament)","A_Plast",57.6282,10.7458,57.6537,10.7763,0.063688,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",15.7015450320312,0.0157015450320312,"Plast"
3,36,16,2015,"N_Inget","N_Inget",57.4447,10.8363,57.467,10.8737,0.070392,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,37,17,2015,"N_Inget","N_Inget",57.5317,11.0097,57.5453,11.0613,0.0689,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,4,2,2015,"N_Inget","N_Inget",57.373,9.1417,57.3745,9.0842,0.06926,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,40,18,2015,"N_Inget","N_Inget",57.5962,11.3882,57.6237,11.3583,0.07038,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,41,19,2015,"A3_Plastpåse","A_Plast",57.7358,11.3267,57.7637,11.3008,0.06926,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","SUP",43.3150447588796,5.48657233612475,"Plast"
3,41,19,2015,"A6_Fiskelina (härva)","A_Plast",57.7358,11.3267,57.7637,11.3008,0.06926,"ANS-SE-AA-B_Kattegatt","ANS-SE-SR-Nordsjon","FISHERY",14.4383482529599,0.375397054576956,"Plast"
3,45,20,2015,"N_Inget","N_Inget",57.9673,10.734,57.9968,10.7135,0.080086,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,47,21,2015,"N_Inget","N_Inget",58.091,10.8612,58.1222,10.8608,0.079649,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","Inget",0,0,"Inget"
3,48,22,2015,"A6_Fiskelina (härva)","A_Plast",58.2523,11.0287,58.2827,11.0168,0.079649,"ANS-SE-AA-B_Skagerrak","ANS-SE-SR-Nordsjon","FISHERY",12.5550854373564,0.728194955366671,"Plast"
3,52,23,2015,"N_Inget","N_Inget",57.8143,10.9547,57.7985,10.9048,0.065797,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,54,24,2015,"A3_Plastpåse","A_Plast",57.678,10.9563,57.6533,10.9902,0.071169,"utanför ANSSE-area","Utanför ANSSE-area","SUP",14.0510615577007,0.393429723615619,"Plast"
3,55,25,2015,"A3_Plastpåse","A_Plast",57.5597,10.8637,57.533,10.836,0.074558,"utanför ANSSE-area","Utanför ANSSE-area","SUP",13.4123769414416,0.0536495077657663,"Plast"
3,55,25,2015,"A5_Fiskelina (monofilament)","A_Plast",57.5597,10.8637,57.533,10.836,0.074558,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",13.4123769414416,0.0134123769414416,"Plast"
3,57,26,2015,"A5_Fiskelina (monofilament)","A_Plast",57.1888,11.443,57.1567,11.4507,0.079235,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",25.2413706064239,0.227172335457815,"Plast"
3,6,3,2015,"N_Inget","N_Inget",57.3027,8.5518,57.288,8.6007,0.06704,"utanför ANSSE-area","Utanför ANSSE-area","Inget",0,0,"Inget"
3,62,27,2015,"A5_Fiskelina (monofilament)","A_Plast",56.6197,11.8285,56.5887,11.8227,0.0716906350686122,"utanför ANSSE-area","Utanför ANSSE-area","FISHERY",13.9488232883269,0.0278976465766537,"Plast"
