haul_id,diverse,naturmaterial,plast,metall,glas,gummi,quarter,st_no,haul_no,year,lat,lon,X,Y,ansse_area,balse_area,trend_area,swept_area_km2,sup,fishery,var,depth
2013_1_103_27_57.1_11.8,0,0,0,0,0,0,1,103,27,2013,57.123599999999996,11.8431,308.9009560928107,6335.567869095784,ANS-SE-AA-B_Kattegatt,NA,ANS-SE-SR-Nordsjon,0.0694774324514133,0,0,biomass_density,207
2013_1_105_28_57.2_12.1,0,0,0,0,0,0,1,105,28,2013,57.198499999999996,12.056750000000001,322.18913234345416,6343.322528819507,ANS-SE-AA-B_Kattegatt,NA,ANS-SE-SR-Nordsjon,0.0651968749125107,0,0,biomass_density,232
2013_1_107_29_57_12.2,0,0,0,0,0,0,1,107,29,2013,57.031,12.202,330.196301821808,6324.316261397446,ANS-SE-AA-B_Kattegatt,NA,ANS-SE-SR-Nordsjon,0.0634029729246798,0,0,biomass_density,232
2013_1_108_30_56.9_12.3,0,0,0,0,0,0,1,108,30,2013,56.88235,12.2835,334.4829764420377,6307.577108560463,ANS-SE-AA-B_Kattegatt,NA,ANS-SE-SR-Nordsjon,0.069964625796811,0,0,biomass_density,231
2013_1_117_31_56.8_12.2,0,0,0,0,0,0,1,117,31,2013,56.83385,12.23375,331.2343235612202,6302.302497855896,ANS-SE-AA-B_Kattegatt,NA,ANS-SE-SR-Nordsjon,0.066308066112638,0,0,biomass_density,225
2013_1_119_32_56.6_12.6,0,0,0,0,0,0,1,119,32,2013,56.555899999999994,12.588899999999999,351.8077243040943,6270.554976747672,ANS-SE-AA-B_Kattegatt,NA,ANS-SE-SR-Nordsjon,0.0648102374706985,0,0,biomass_density,236
2013_1_121_33_56.4_12.3,0,0,0,0,0,0,1,121,33,2013,56.3879,12.2586,330.76629739152514,6252.625917163719,ANS-SE-AA-B_Kattegatt,NA,ANS-SE-SR-Nordsjon,0.0629949904902944,0,0,biomass_density,228
2013_1_122_34_56.3_12.6,0,0,0,0,0,0,1,122,34,2013,56.349050000000005,12.579550000000001,350.4223692637255,6247.559654198961,ANS-SE-AA-B_Kattegatt,NA,ANS-SE-SR-Nordsjon,0.0673742232853167,0,0,biomass_density,236
2013_1_130_35_56.6_11.8,0,0,0,0,0,0,1,130,35,2013,56.60725,11.82735,305.28175351948653,6278.171171944706,utanför ANSSE-area,NA,Utanför ANSSE-area,0.0673742232853167,0,0,biomass_density,228
2013_1_132_36_56.8_11.9,0,0,0,0,0,0,1,132,36,2013,56.7947,11.85115,307.70069322331886,6298.956386684874,utanför ANSSE-area,NA,Utanför ANSSE-area,0.0684933605768723,0,0,biomass_density,212
2013_1_134_37_56.9_11.7,0,0,0,0,0,0,1,134,37,2013,56.94125,11.6759,297.79580963088796,6315.764400321874,utanför ANSSE-area,NA,Utanför ANSSE-area,0.0749196145911194,0,0,biomass_density,211
