term,estimate,std.error,conf.low,conf.high,model
year_f2013,-2.5950208065317364,0.48131474800418983,-3.53838037784792,-1.6516612352155526,tweedie_plastic
year_f2014,-2.0476141526776015,0.4610653679749407,-2.951285668427192,-1.1439426369280108,tweedie_plastic
year_f2015,-1.3180284921037053,0.3999091137380449,-2.1018359521196053,-0.5342210320878054,tweedie_plastic
year_f2016,-2.5647824150813188,0.45877098611623546,-3.463957025021065,-1.6656078051415724,tweedie_plastic
year_f2017,-1.9098464737670156,0.40828980516896624,-2.710079787153065,-1.1096131603809662,tweedie_plastic
year_f2018,-1.3115247824237397,0.417836034466065,-2.1304683614202635,-0.4925812034272158,tweedie_plastic
year_f2019,-0.8588287006721796,0.4472762787409202,-1.7354740981434813,0.0178166967991219,tweedie_plastic
year_f2020,-1.5258166292675035,0.4297007052053217,-2.3680145356013966,-0.6836187229336101,tweedie_plastic
year_f2021,-1.8724071115576124,0.43304837831795834,-2.721166336624287,-1.0236478864909382,tweedie_plastic
year_f2022,-0.9183164105469339,0.42068431028369085,-1.742842507564041,-0.09379031352982692,tweedie_plastic
depth_sc,-0.024095944417091543,0.2000901058896919,-0.41626534562369333,0.3680734567895102,tweedie_plastic
year_f2013,-2.8567059100239525,0.5788294458242018,-3.991190777030666,-1.7222210430172389,tweedie_sup
year_f2014,-2.94148406626232,0.5739280295626957,-4.066362333923243,-1.8166057986013973,tweedie_sup
year_f2015,-1.8472067118036863,0.5079041583570254,-2.8426805697815842,-0.8517328538257884,tweedie_sup
year_f2016,-3.553935154593073,0.6220157250283408,-4.773063573466191,-2.334806735719956,tweedie_sup
year_f2017,-2.5718249579382872,0.514279239774841,-3.579793745893614,-1.5638561699829603,tweedie_sup
year_f2018,-2.5216288005055434,0.5117950119693938,-3.524728591432801,-1.518529009578286,tweedie_sup
year_f2019,-1.819117581341698,0.48508639228925715,-2.76986943961911,-0.868365723064286,tweedie_sup
year_f2020,-1.8963192388355814,0.496582456047951,-2.8696029680440094,-0.9230355096271533,tweedie_sup
year_f2021,-1.9933433161606977,0.5097376144813658,-2.9924106821095373,-0.9942759502118583,tweedie_sup
year_f2022,-1.1552829856522204,0.4753417333246762,-2.0869356633174285,-0.22363030798701244,tweedie_sup
depth_sc,-0.05133235211637314,0.20201547770388614,-0.4472754127356442,0.3446107085028979,tweedie_sup
year_f2013,-6.544554122093884,0.8572735894132174,-8.224779482241168,-4.8643287619466005,tweedie_fishery
year_f2014,-3.2772433792961495,0.5745639387308292,-4.403368006024053,-2.1511187525682463,tweedie_fishery
year_f2015,-3.000207215205618,0.45046794663467127,-3.8831081667992846,-2.117306263611951,tweedie_fishery
year_f2016,-3.9306039311465226,0.49670108402126756,-4.90412016691021,-2.9570876953828353,tweedie_fishery
year_f2017,-3.5558173624738765,0.47046982987030717,-4.477921284832365,-2.633713440115388,tweedie_fishery
year_f2018,-3.3552623618191166,0.47155022222169235,-4.279483814275492,-2.431040909362741,tweedie_fishery
year_f2019,-3.522546568959347,0.5216126653106407,-4.544888606848147,-2.5002045310705463,tweedie_fishery
year_f2020,-3.0950580690312086,0.48045760473473814,-4.036737670409676,-2.153378467652741,tweedie_fishery
year_f2021,-4.210048428610146,0.5275577900745654,-5.244042696919836,-3.1760541603004557,tweedie_fishery
year_f2022,-4.386796141582366,0.5527759684216159,-5.470217131207983,-3.3033751519567485,tweedie_fishery
depth_sc,0.26437279476266967,0.2617233989157842,-0.24859564102367676,0.7773412305490162,tweedie_fishery
